Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Distance,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Class
43.3106,17.2934,2.9511,0.376,0.2188,15.6075,38.7788,10.4531,12.2655,250.705,U,T,X,ZR3B37AUYM,NG630,g
18.7096,16.1954,2.4556,0.5534,0.352,17.2286,19.9471,-3.847,71.00399999999999,54.3992,R,T,T,FND66EX7FC,POFFA,g
32.0397,12.2173,2.6464,0.3928,0.2201,-8.2516,14.9634,8.6349,68.342,165.942,U,W,T,N9RQNWXE9Z,WVLR6,h
21.173,6.9933,2.0846,0.716,0.3909,23.3534,11.8367,6.2475,62.166,172.15099999999998,Q,S,U,UKRN1DEL5J,2VJQN,g
37.0949,17.5767,2.8429,0.3288,0.1845,26.4898,27.7515,-6.9509,16.5347,156.783,V,S,W,4L5IQ3THPW,DMPX9,g
41.4173,12.6865,2.8202,0.3162,0.1581,23.3213,25.3511,7.9122,3.9349,154.44299999999998,V,S,Y,O76I9H1T2O,D5ZB9,g
73.0376,22.2678,3.4429,0.1745,0.0932,72.6734,63.8847,11.8337,2.13,282.813,Y,Q,Z,3CZJU00DRD,7WNRM,g
87.5887,31.0013,3.1202,0.2214,0.1171,-29.6565,-93.1094,-10.384,62.0475,138.826,X,Y,U,0VLR7JGVKU,F86BV,h
60.8999,25.7562,3.5977,0.2098,0.1107,53.2395,61.5423,-10.1453,0.072,235.71400000000003,Y,Q,Z,S823DTDHUU,15WQP,g
25.4265,18.3037,2.6493,0.3901,0.2276,-3.7121,-18.7435,-7.636,69.976,219.091,U,W,T,J4UI6827OF,8517Q,g
24.3935,14.8408,2.4683,0.4558,0.2466,0.759,20.3433,-4.5302,31.567,207.265,T,V,V,7H7DNKYUTG,6EGAT,g
61.0765,22.1349,2.9317,0.1966,0.1012,16.4389,-22.8588,9.5081,7.7011,183.489,Y,T,X,3NFMMAMRFY,Z5NEZ,g
19.9786,9.2008,2.4346,0.6507,0.4283,-4.1789,14.4521,10.3094,78.2768,32.3245,Q,W,T,1ZLBJ4VSYX,MBOJ0,h
108.8548,22.8127,2.9802,0.2196,0.1136,-209.1333,111.3243,12.4662,61.0441,166.9123,X,Z,U,UDFZ91YLK0,SBZ2L,h
38.7785,14.9414,3.039,0.2888,0.1686,3.0907,16.4567,-3.6941,6.553999999999999,183.625,W,V,Y,W0ZJT9GOHL,ZYRNO,g
24.0385,14.1255,2.9082,0.3231,0.1765,-12.7252,-22.5138,10.4751,85.7636,267.4286,V,W,T,F38I9DJYQK,HV7NZ,h
13.0592,11.0857,2.1156,0.7586,0.41,-14.7393,4.913,-11.5702,77.476,227.178,Q,X,T,KENJVSM46F,YPW5U,g
28.2991,15.9104,2.5099,0.4328,0.2674,10.359000000000002,20.9342,9.0421,1.8931,118.268,T,U,Z,LR32SHZRJ3,EYSEJ,g
192.996,111.603,3.286,0.1744,0.0903,-178.735,-140.528,-112.486,34.1,194.983,Y,Z,V,S9VPS8DB0G,UQ1L1,h
206.7469,70.6047,3.0232,0.2985,0.1431,86.171,196.6923,55.4418,80.4459,245.1055,W,Q,T,W8A8VPQE0J,8033M,h
20.6078,7.1359,2.0952,0.7390000000000001,0.3815,23.068,11.6837,-5.8195,41.644,62.8943,Q,S,U,IJ9YI9EDSO,U9BE5,g
108.555,29.4081,2.8564,0.2797,0.1454,83.5491,88.0406,-29.4459,19.086,134.369,W,Q,W,UPFRC6442L,0CFDO,h
18.0667,12.8863,2.4158,0.5643,0.3013,2.7454,-10.67,7.8956,86.45299999999999,167.368,R,V,T,J1JOZN7BWM,P957G,g
85.5642,28.4458,3.1652,0.2515,0.1288,-6.9911,53.0078,30.7099,0.4362,332.213,X,W,Z,20KW6KOD9R,JT38M,g
32.7696,24.7071,2.9533,0.2394,0.1364,5.722,-11.4513,12.746,16.6887,256.03,X,U,W,2YPSPGRVGD,7PDCY,g
29.8766,18.9538,2.8011,0.2909,0.1542,18.6367,17.8455,13.3825,14.8934,70.067,W,T,W,6H1XZ0J0D7,0NGVK,g
72.6769,27.3224,3.5856,0.2098,0.1169999999999999,37.7572,65.5995,17.2813,3.096,278.096,Y,R,Y,CJI7QIM6X7,83CRJ,g
21.9513,10.6168,2.301,0.625,0.4075,-19.4962,-20.8829,11.5376,25.552,115.42,R,X,V,AMQ7H8QAUU,A1W29,h
82.1558,24.0037,3.4339,0.2213,0.1173,44.378,85.7075,-18.0565,0.3795,254.18,X,R,Z,RU3M8HFYJ7,XHMWL,g
27.6407,16.453,2.8448,0.4532,0.2437,13.6747,20.5349,11.6769,8.536,172.532,T,T,X,4QQT582P7K,4PZZW,g
13.1755,10.4054,2.1889,0.7896,0.4887,13.1469,5.9301,10.68,12.8122,252.24400000000003,Q,T,X,SYDHVPOATP,GLC6F,h
90.6992,23.635,3.3862,0.1755,0.0881,52.3934,84.5329,15.0062,7.369,326.835,Y,Q,X,MRU2EYAX1U,RMT6N,g
31.0818,14.1038,2.4526,0.3774,0.2028,-33.0562,-14.6913,7.294,14.461,275.572,U,Y,W,LQ3GFOYWHL,5Y15L,g
38.5173,10.1657,2.5605,0.3961,0.2022,-16.4005,23.9759,6.2005,7.331,193.49400000000003,U,X,X,ICHWEBFO7H,OA4F5,g
36.7024,18.9061,2.6744,0.3894,0.2444,25.3309,35.8258,15.3319,55.657,148.975,U,S,U,BX4WPB8BQP,UIWYF,h
84.8819,25.1165,3.0601,0.1916,0.1023,-43.2873,-51.8796,21.2441,16.7833,225.889,Y,Y,W,F7AETCF8VG,B4I0P,h
68.1826,45.9107,3.1484,0.1343,0.0707,17.9132,44.5098,-38.5567,32.3596,150.471,Z,T,V,30FFSA0LXV,9F3KV,h
23.481,20.2189,2.5617,0.4856,0.3306,12.2016,10.827,16.7935,71.60300000000001,134.735,S,U,T,XG1EEKS8XA,Q4ZKH,g
95.6197,34.7412,3.1987,0.1867,0.0965,115.229,54.1704,30.9821,28.5503,210.982,Y,Q,V,FPJ4M2K5C4,8TLXR,g
33.7125,17.0818,2.6289,0.4019,0.2103,19.6482,-13.1492,-9.0689,46.5757,105.134,U,T,U,43ZXYTXJ5L,7L9TS,h
20.9211,6.9211,2.1861,0.7492,0.4267,-21.6507,-13.8203,-6.0421,29.71,179.21900000000002,Q,X,V,SIE8AFRD3G,KHZQ3,g
90.0194,18.8496,3.1189,0.2826,0.158,68.2756,51.8986,-12.8095,66.5938,71.1545,W,Q,T,5MXC69KLMW,2R0ZG,h
22.3493,11.469,2.5922,0.5396,0.3261,-6.4752,-10.0721,-7.5444,9.2904,132.145,S,W,X,52HK4F68ZK,EFBZL,g
94.6741,33.5956,3.9912,0.1232,0.0616,108.849,80.329,19.1019,1.4369999999999998,305.60900000000004,Z,Q,Z,GBZRFAXJDJ,TO4TB,g
47.9535,7.8257,2.7328,0.4163,0.2433,-9.7068,31.8151,-4.1539,50.099,108.575,T,W,U,IJYULEFEGF,NJ0S1,h
20.9063,12.7151,2.4541,0.4288,0.2162,-16.9266,-6.9811,-8.9833,42.3501,194.225,T,X,U,3W5DKCS0BU,2VZOA,g
21.795,18.957,2.7396,0.3679,0.1922,5.606,15.6861,8.3744,62.0277,132.613,U,U,U,OKSKN90MVU,CH5YX,g
65.3941,19.6573,3.2230000000000003,0.2226,0.1224,-83.5043,53.4325,9.7742,2.954,257.873,X,Z,Y,YFZAMWDS2O,8VCGQ,g
30.4808,28.0867,2.82,0.2132,0.1048,37.8499,28.0849,24.9483,41.3919,224.0925,X,R,U,FDE7WEQIKW,WGDD7,h
27.6224,10.1414,2.6564,0.5177,0.2706,-19.8099,-16.5941,5.8707,77.9632,48.0056,S,X,T,KKWZ195G9R,HDQ7A,h
48.0649,6.4926,2.4433,0.5369,0.355,-5.5375,-11.5578,4.9494,12.5969,256.029,S,W,X,2J3WGXFQ30,MF1VO,g
12.9587,11.287,2.2135,0.7462,0.3945,14.9715,-5.4779,-11.5852,71.829,139.62,Q,T,T,9EF88CH4B7,4L0W3,g
121.289,35.3162,3.2188,0.1474,0.0873,-82.2599,-103.834,-9.1555,62.234,179.875,Z,Z,U,LB3X4G973L,R3VPU,h
28.6367,15.9811,2.639,0.4225,0.2331,37.9999,16.8384,-15.9181,2.3458,127.406,T,R,Z,U2OOU3U0LG,XU4GX,g
16.8421,11.3458,2.238,0.5723,0.2919,-2.2898,7.4135,3.1122,23.812,111.254,R,V,V,1SFFT043O6,V5GVV,g
34.5932,9.9816,2.6123,0.4639999999999999,0.2576,-15.6014,-29.8757,10.8064,67.5928,227.792,T,X,T,JH1KXKC1TV,QVL1Q,h
85.8175,13.7655,3.2348,0.4462,0.2317,-60.6026,-52.6697,-4.854,10.4111,374.5664,T,Y,X,SR8YQOOZWW,LRF6Z,h
95.5207,34.5134,4.1295,0.1005,0.0543,21.1988,88.912,-15.3593,0.084,260.879,Z,S,Z,WSPOGXLBP4,I5FO9,g
24.942,13.7098,2.537,0.497,0.3183,19.8686,18.0814,6.2089,37.1575,199.303,S,S,V,T2E5FJZIM5,3OB5Y,h
21.6639,10.6492,2.2577,0.5579999999999999,0.2845,4.8909,-17.3416,-7.7182,3.033,113.216,R,U,Y,8W112V79LD,F688P,g
35.579,15.7688,2.8112,0.332,0.1707,8.2101,23.4049,9.6309,7.5527,196.357,V,U,X,WXKU1ID5RM,8GIZ1,g
71.0207,27.6918,3.1945,0.2038,0.1083,53.7932,38.473,-21.5379,1.904,293.954,Y,Q,Z,KTYQGV5JWV,ZNFK1,g
43.1587,16.4368,2.8038,0.2545,0.128,13.7851,34.7238,-8.2073,11.521,190.141,X,T,X,DLPBEC8SPF,9T9S1,g
74.7353,16.1675,3.0979,0.289,0.1153,-96.1394,34.1375,13.6767,27.7082,279.1457,W,Z,V,OSBJVIIYN0,6NTRF,h
37.3887,19.1897,2.5843,0.3333,0.181,-28.1468,-21.6535,-10.4241,1.818,245.343,V,X,Z,M4ZSNRPF2A,GNOK5,g
70.2452,19.4757,2.9562,0.2721,0.1499,77.4517,-35.9015,-9.1656,5.353,259.379,W,Q,Y,CZ12KI9WZB,EHODS,g
15.2647,5.8096,2.2321,0.5464,0.3281,9.7371,7.7963,5.4489,71.2641,248.9294,S,U,T,3CZKXLNSO6,B0ZK7,h
40.1959,32.5425,3.4637,0.1987,0.1167,5.7147,19.8578,13.7549,10.0734,125.409,Y,U,X,E7L762NGNQ,D1ZV9,g
99.9364,55.923,4.1876,0.0984,0.0495,-20.855,69.205,-29.3662,2.423,341.01800000000003,Z,X,Z,Q9TDEISMPC,GKDDZ,g
17.9911,15.7644,2.2648,0.6304,0.356,-2.6343,-14.9682,-11.0193,21.9555,184.648,R,V,W,RTO2DN2K2A,B4SYJ,g
39.3421,20.8675,3.0118,0.2453,0.1299,18.0725,20.3496,-18.3023,1.8662,197.644,X,T,Z,78EWCHITVN,A4WSS,g
84.0787,27.2913,3.3748,0.1641,0.1031,52.3783,77.6765,-8.011000000000001,5.218999999999999,267.886,Y,Q,Y,QNP9QBRMFG,P3HAY,g
25.2701,16.9694,2.8179,0.3483,0.1787,-12.9026,13.0698,10.0,29.746,85.5765,V,W,V,S0WUBM4ALL,2JH3Z,g
42.2218,16.7086,2.6459,0.4,0.2362,36.4684,37.3177,6.702000000000001,4.972,186.202,U,R,Y,QPTH28TSZP,AFN57,g
17.9171,10.7729,2.5184,0.6905,0.4186,6.712999999999999,9.8405,-1.586,2.335,187.5844,Q,U,Z,RO10O17KJT,V8QF4,h
92.5854,11.2825,3.0071,0.3119,0.1923,-68.649,-48.92,6.7814,2.5099,293.081,V,Y,Z,6RO4Y1WZZL,IT3B1,g
12.8589,11.466,2.1945,0.7348,0.3738,-15.0658,4.3276,-11.6815,28.704,87.6656,Q,X,V,KTL11CTVZR,LKA2M,g
18.7081,16.3803,2.4749,0.5226,0.3032,24.4093,-3.8482,16.7391,81.6908,200.766,S,S,T,ANP6Y2ABR5,ETJZK,g
105.5069,16.504,3.2392,0.208,0.1202,73.9211,-52.7838,-16.1497,64.6235,169.7756,Y,Q,T,OSWOS9ZICU,TG2XE,h
75.8726,40.5638,3.3515,0.2039,0.12,74.7201,63.1762,-57.4405,7.21,225.287,Y,Q,X,MWXA0WIYKF,7OY6H,g
28.2788,13.7217,2.5664,0.4858,0.2809,22.1734,22.8593,-11.5038,20.694000000000003,145.391,S,S,W,9544JJRBJS,MQAY3,g
61.661,31.9965,3.3249,0.2097,0.1247,-45.3862,39.3886,-12.5901,2.249,284.313,Y,Y,Z,229S4JZYKQ,AC7BL,g
39.0068,11.0921,2.5969,0.5615,0.3623,5.295,40.9484,4.906000000000001,47.2775,189.1251,R,U,U,PXQ39QCI8M,6JY2O,h
18.5164,10.5212,2.4955,0.508,0.2572,25.8146,3.8863,-1.7255,82.9909,211.533,S,S,T,BW3S9PMIO1,JVC82,g
106.5722,59.3337,3.1147,0.2136,0.105,93.8837,90.4481,-33.2761,6.8548,278.4193,X,Q,X,NUC2S5DK4R,0ZJE6,h
31.9906,7.412000000000001,2.3856,0.6667,0.4424,32.1667,20.3889,-3.7756,18.9558,198.012,Q,R,W,O5CYY11XC6,DMWAM,g
17.0477,9.9629,2.4085,0.5473,0.2879,-3.5455,15.6929,5.4976,42.3606,72.7224,R,W,U,842VY0WS78,FYDFA,h
80.9257,38.4425,4.0026,0.1097,0.0581,85.3075,77.3778,29.3542,3.9366,234.268,Z,Q,Y,0PYIW7NLET,4B2B1,g
106.332,35.0174,2.7966,0.4505,0.2452,-38.1628,-115.38,23.3649,7.763999999999999,360.895,T,Y,X,QRV5Q799KK,UQG63,h
38.3579,13.5529,2.769,0.4804,0.2503,-19.1756,-11.9527,-16.9762,2.0105,88.7378,S,X,Z,5DWZX1J5EZ,DBACE,h
37.7253,16.6038,2.7716,0.2758,0.1497,19.6874,33.9511,7.8238,15.834,256.048,W,T,W,NJ511YCRRU,B9AHZ,g
80.1168,22.5723,2.9713,0.2041,0.1063,-82.0716,70.5643,15.78,3.4486,274.863,Y,Z,Y,0TKINJAPGJ,REA5H,g
68.1515,31.0862,3.4638,0.2602,0.1139,47.0616,94.8879,35.1316,88.4406,290.6585,W,Q,T,N2HB46M16Q,OKSOJ,h
97.6192,39.026,3.7412,0.1782,0.0926,-158.012,44.4587,31.6856,1.822,383.006,Y,Z,Z,U57SAMPFNJ,39I1F,g
21.9086,16.4167,2.4257,0.5441,0.2871,15.0344,18.7634,-13.2331,50.2519,129.789,S,T,U,0TGDM8TV3T,SGL49,g
27.3481,14.9418,2.4330000000000003,0.4317,0.2417,-28.6155,-22.5047,-8.9758,74.229,249.861,T,X,T,E8XX5Y7JS7,SNCM1,h
239.647,64.2808,3.3077,0.1728,0.0968,-235.069,-216.584,50.7395,13.615,252.983,Y,Z,W,X4KA2A5EU6,0WLFY,h
87.8482,36.7561,3.2122,0.1798,0.0972,54.1671,105.081,-34.1853,15.2606,157.194,Y,Q,W,UZ6S2AC4G4,PXS50,g
34.6968,18.8589,2.7164,0.4131,0.2277,37.129,22.924,-14.6888,10.225,194.631,T,R,X,9JYDP8CTF5,STBHF,g
17.264,9.5686,2.3383,0.5855,0.3556,-3.0337,8.7888,5.3275,58.6985,189.7578,R,V,U,1ICTGBUPKE,BD599,h
40.6204,18.9094,2.7443,0.3766,0.2207,-15.7366,-27.265,11.7707,74.173,105.249,U,X,T,YBHIASB494,64ABT,h
50.6529,10.7307,2.9194,0.251,0.143,15.453,-14.3788,3.6106,71.4379,190.3706,X,T,T,EJTVUOGD02,OVTVS,h
110.144,46.4167,4.2885,0.0603,0.0301,9.501,94.1436,-21.1601,2.5168,206.363,Z,U,Z,40FYVTPRGF,ILS8E,g
75.6427,28.926,3.5111,0.139,0.084,-67.2102,-52.6716,15.746,17.19,221.961,Z,Y,W,HQD6GNPR6M,42ON8,h
64.3124,23.4215,3.2968,0.2408,0.128,-47.7099,56.5532,14.7953,1.42,293.528,X,Y,Z,4PPG6U9QSU,JOVQB,g
12.9851,11.1155,2.1508,0.7491,0.4346,-14.4702,6.6177,-10.3747,79.334,149.94799999999998,Q,X,T,BWG0WLTAP9,XMAP7,g
159.9055,75.9563,3.3458,0.1176,0.0722,79.9708,58.5895,24.1594,85.6268,241.3654,Z,Q,T,BWBEIYKVZD,IBAV8,h
19.9314,12.3376,2.4417,0.4955,0.2984,1.4357,-8.8626,10.7326,39.732,137.45,S,V,V,K5GQOM43LP,OUAMN,g
53.4872,22.0174,2.9317,0.2153,0.1106,58.172,51.07899999999999,-15.7064,16.4569,168.167,X,Q,W,4SNB8LDZCQ,EMWSZ,g
65.045,35.0272,3.6171,0.1519,0.0805,1.6442,64.1156,23.5996,18.4316,212.489,Z,V,W,R8KZD56TX9,XJ13U,g
22.6859,10.1039,2.6968,0.5829,0.3307,-7.5143,13.0971,-1.2362,10.9199,131.041,R,W,X,9BA3107M9W,Q9GF7,h
195.598,87.2875,3.9584,0.095,0.0478,-20.0864,-100.211,19.9813,87.8503,375.54,Z,X,T,AFEWO7PRFP,PNTSM,h
24.5394,14.7391,2.6484,0.4854,0.2753,-1.0812,23.3631,-6.8022,10.0304,234.156,S,V,X,5PBC77I9UX,RQ5GG,g
54.0843,18.7006,2.6594,0.5667,0.372,17.0846,63.999,-11.8984,41.7125,222.4798,R,T,U,T0HXFZZO84,TGR64,h
44.7138,21.4698,3.1331,0.212,0.1181,6.1446,-32.5076,-13.1393,3.3443,193.561,Y,U,Y,4JBS3TALWT,2055J,g
47.3598,17.2387,3.0781,0.2673,0.1449,-40.3492,-26.4639,-7.8437,3.1134,229.38,W,Y,Y,9O4T0DPJG3,6XS4S,g
87.6502,20.9142,3.3469,0.1592,0.0906,52.3274,76.641,-12.9819,1.7125,219.403,Z,Q,Z,5W6APGMIXF,4YMXF,g
28.085,12.8567,2.5927,0.4981,0.3282,2.4313,13.0427,-6.9039,25.4082,179.107,S,V,V,PX7EKBCLWA,XEGNX,g
113.495,22.2247,3.0542,0.2304,0.1399,-7.2961,-42.9525,-15.129,2.729,354.769,X,W,Z,4SQWFC12A0,PN1F5,g
19.3169,6.0723,2.4571,0.8517,0.5951,14.7595,18.1737,-4.8309,45.3267,116.554,Q,T,U,LT6VLDWRYS,MOTWB,h
21.2491,7.3014,2.5881,0.7113,0.4235,13.8611,13.8632,9.5248,45.7701,220.6692,Q,T,U,IGIOBTRNLP,UO4I0,h
310.61,47.5318,3.3534,0.203,0.1256,-207.974,-171.812,-42.0762,43.9871,160.191,Y,Z,U,Y86SGMRNJD,9EDJ2,h
25.5628,11.9588,2.4188,0.7183,0.4317,9.1341,21.0834,11.0272,9.5872,65.6303,Q,U,X,YRJ39GWXY7,HXKMC,h
48.2689,28.4269,2.8817,0.5003,0.283,-0.861,57.7281,-30.09,89.8702,201.982,S,V,T,7XPODXEBYS,V1C02,h
64.8094,30.1755,3.2292,0.3136,0.2251,-76.8601,-38.6044,-13.6838,32.7431,278.4021,V,Z,V,BLQKHN3X8O,E6VTG,h
69.4358,16.0666,2.4956,0.3471,0.1758,46.1161,71.9623,-10.8771,78.4354,161.377,V,R,T,5HGRWN629D,1O9HU,h
68.4038,20.6881,3.1874,0.2592,0.14,-42.5928,50.5009,-13.3345,2.887,286.88,X,Y,Y,YXOIL9A4IS,T33SZ,g
